Name,Symptoms,Treatments,Disease_Code,Contagious,Chronic
Edward Syndrome,"Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects","Supportive care, addressing associated medical issues, early intervention programs, palliative care",D385,False,False
West Nile Virus,"Fever, headache, body aches, rash","Supportive care, symptom management, prevention of mosquito bites",D386,True,False
Obesity,"Excessive body weight, increased risk of chronic conditions","Antifungal medication eg  Amphotericin B, Fluconazole, supportive care",D387,False,True
Hypertension,"headache, dizziness, blurred vision","medication, diet change, exercise",D388,False,True
Sialolithiasis,"Swelling, pain, tenderness, difficulty eating","Warm compresses, Saliva stimulation, Sialagogues, Stone removal ",D389,False,False
Hyperopia,"Difficulty seeing objects up close, blurred vision when focusing on near objects","Eyeglasses, contact lenses, refractive surgery",D390,False,False
Liver Cancer,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","Surgery, Radiation therapy, Chemotherapy, Targeted therapy, Immunotherapy, Radiofrequency ablation, Transarterial chemoembolization (TACE), Selective internal radiation therapy (SIRT), Palliative care, Clinical trials",D391,True,True
Chalazion,"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling","Warm compresses (to help soften and promote drainage of the blocked oil gland), gentle massage of the affected area, eyelid hygiene (keeping the area clean), over-the-counter lubricating eye drops, topical antibiotic ointments (if there is a risk of infection), corticosteroid injections (for larger or persistent chalazia), surgical drainage or excision (in rare cases or if conservative treatments are ineffective)",D392,False,False
Hypocalcemia,"Numbness or tingling in fingers or around the mouth, muscle cramps","Calcium and vitamin D supplements, treating underlying causes, intravenous calcium (in severe cases)",D393,False,False
Viral Warts,"Small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions","Topical treatments (salicylic acid, cryotherapy), laser therapy, surgical removal, immune therapy (for persistent or recurrent cases)",D394,False,True
Spondylitis,"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases","Medication (such as nonsteroidal anti-inflammatory drugs, corticosteroids, disease-modifying antirheumatic drugs), physical therapy (including stretching and strengthening exercises), heat or cold therapy, posture correction techniques, lifestyle modifications (such as regular exercise, weight management), assistive devices (such as braces or supports), surgical intervention (in rare cases), pain management techniques (such as acupuncture or transcutaneous electrical nerve stimulation)",D395,True,True
